
time,gFx,gFy,gFz,Bx,By,Bz,Azimuth,Pitch,Roll,
15:11:19:725,-0.0258,-0.0160,0.9996,48.7750,-18.5875,-38.5500,248.9240,0.4898,0.2935,
15:11:19:751,-0.0258,-0.0160,0.9996,45.0250,-28.7125,-39.5000,248.9240,0.4898,0.2935,
15:11:19:785,-0.0248,-0.0027,0.9992,45.0250,-28.7125,-39.5000,248.9240,0.4898,0.2935,
15:11:19:786,-0.0248,-0.0027,0.9992,45.0250,-28.7125,-39.5000,242.2377,0.5182,0.2425,
15:11:19:811,-0.0248,-0.0027,0.9992,39.9250,-35.6125,-37.5750,242.2377,0.5182,0.2425,
15:11:19:847,0.0040,-0.0043,0.9996,39.9250,-35.6125,-37.5750,242.2377,0.5182,0.2425,
15:11:19:848,0.0040,-0.0043,0.9996,39.9250,-35.6125,-37.5750,235.2769,0.5414,0.1890,
15:11:19:882,0.0040,-0.0043,0.9996,33.2625,-42.7375,-35.8750,235.2769,0.5414,0.1890,
15:11:19:928,0.0189,-0.0137,0.9994,33.2625,-42.7375,-35.8750,235.2769,0.5414,0.1890,
15:11:19:929,0.0189,-0.0137,0.9994,33.2625,-42.7375,-35.8750,226.1636,0.5631,0.1176,
15:11:19:951,0.0189,-0.0137,0.9994,27.1875,-47.3125,-32.6000,226.1636,0.5631,0.1176,
15:11:19:987,0.0086,-0.0144,0.9997,27.1875,-47.3125,-32.6000,226.1636,0.5631,0.1176,
15:11:19:988,0.0086,-0.0144,0.9997,27.1875,-47.3125,-32.6000,218.8075,0.5729,0.0546,
15:11:20:011,0.0086,-0.0144,0.9997,20.7750,-50.2375,-28.7625,218.8075,0.5729,0.0546,
15:11:20:049,0.0181,-0.0261,1.0001,20.7750,-50.2375,-28.7625,218.8075,0.5729,0.0546,
15:11:20:050,0.0181,-0.0261,1.0001,20.7750,-50.2375,-28.7625,211.7409,0.5772,-0.0063,
15:11:20:082,0.0181,-0.0261,1.0001,14.1500,-52.6000,-25.3625,211.7409,0.5772,-0.0063,
15:11:20:131,-0.0103,-0.0005,1.0003,14.1500,-52.6000,-25.3625,211.7409,0.5772,-0.0063,
15:11:20:133,-0.0103,-0.0005,1.0003,14.1500,-52.6000,-25.3625,201.7366,0.5728,-0.0942,
15:11:20:152,-0.0103,-0.0005,1.0003,7.8625,-53.9250,-23.6875,201.7366,0.5728,-0.0942,
15:11:20:191,-0.0002,-0.0065,0.9999,7.8625,-53.9250,-23.6875,201.7366,0.5728,-0.0942,
15:11:20:194,-0.0002,-0.0065,0.9999,7.8625,-53.9250,-23.6875,194.6657,0.5623,-0.1591,
15:11:20:212,-0.0002,-0.0065,0.9999,2.0000,-54.6500,-22.7875,194.6657,0.5623,-0.1591,
15:11:20:252,-0.0226,0.0208,0.9999,2.0000,-54.6500,-22.7875,194.6657,0.5623,-0.1591,
15:11:20:254,-0.0226,0.0208,0.9999,2.0000,-54.6500,-22.7875,188.5396,0.5471,-0.2155,
15:11:20:283,-0.0226,0.0208,0.9999,-2.7750,-53.7250,-21.2750,188.5396,0.5471,-0.2155,
15:11:20:313,-0.0083,-0.0199,1.0002,-2.7750,-53.7250,-21.2750,188.5396,0.5471,-0.2155,
15:11:20:316,-0.0083,-0.0199,1.0002,-2.7750,-53.7250,-21.2750,182.5055,0.5272,-0.2673,
15:11:20:353,-0.0083,-0.0199,1.0002,-7.3750,-53.8250,-19.4000,182.5055,0.5272,-0.2673,
15:11:20:393,-0.0529,0.0430,0.9994,-7.3750,-53.8250,-19.4000,182.5055,0.5272,-0.2673,
15:11:20:395,-0.0529,0.0430,0.9994,-7.3750,-53.8250,-19.4000,174.9666,0.4870,-0.3385,
15:11:20:412,-0.0529,0.0430,0.9994,-12.4125,-53.1625,-19.4125,174.9666,0.4870,-0.3385,
15:11:20:456,-0.0252,-0.0079,0.9991,-12.4125,-53.1625,-19.4125,174.9666,0.4870,-0.3385,
15:11:20:458,-0.0252,-0.0079,0.9991,-12.4125,-53.1625,-19.4125,170.3832,0.4626,-0.3790,
15:11:20:483,-0.0252,-0.0079,0.9991,-16.7375,-52.4500,-18.8000,170.3832,0.4626,-0.3790,
15:11:20:519,-0.0035,-0.0120,1.0005,-16.7375,-52.4500,-18.8000,170.3832,0.4626,-0.3790,
15:11:20:522,-0.0035,-0.0120,1.0005,-16.7375,-52.4500,-18.8000,165.8266,0.4326,-0.4138,
15:11:20:553,-0.0035,-0.0120,1.0005,-20.9125,-50.9500,-18.8250,165.8266,0.4326,-0.4138,
15:11:20:597,-0.0035,-0.0120,1.0005,-20.9125,-50.9500,-18.8250,160.9738,0.3953,-0.4488,
15:11:20:600,-0.0032,0.0290,1.0001,-20.9125,-50.9500,-18.8250,160.9738,0.3953,-0.4488,
15:11:20:613,-0.0032,0.0290,1.0001,-24.1500,-48.9125,-18.7000,160.9738,0.3953,-0.4488,
15:11:20:660,0.0172,-0.0281,0.9985,-24.1500,-48.9125,-18.7000,160.9738,0.3953,-0.4488,
15:11:20:663,0.0172,-0.0281,0.9985,-24.1500,-48.9125,-18.7000,156.9606,0.3665,-0.4731,
15:11:20:683,0.0172,-0.0281,0.9985,-26.9125,-48.0125,-17.7250,156.9606,0.3665,-0.4731,
15:11:20:723,-0.0158,-0.0007,0.9991,-26.9125,-48.0125,-17.7250,156.9606,0.3665,-0.4731,
15:11:20:725,-0.0158,-0.0007,0.9991,-26.9125,-48.0125,-17.7250,151.8326,0.3254,-0.5054,
15:11:20:753,-0.0158,-0.0007,0.9991,-30.5750,-45.8250,-17.3000,151.8326,0.3254,-0.5054,
